relative_path,exists,readable,size_bytes,size_kib,audio_stream_present,codec,duration_s,sample_rate_hz,channels,bitrate_kbps,decode_status,machine_status,machine_notes,manual_status,manual_comment,normalization_candidate
corapan/ARG0e9041c54.mp3,yes,yes,32997,32.2,yes,mp3,3.480,24000,2,74.7,ok,pass,,,,
corapan/ARG161dd0304.mp3,yes,yes,26109,25.5,yes,mp3,1.861,48000,2,110.0,ok,pass,,,,
corapan/ARG4b08885ac.mp3,yes,yes,44049,43.0,yes,mp3,3.656,44100,2,95.6,ok,pass,,,,
corapan/ARG5955354d7.mp3,yes,yes,35157,34.3,yes,mp3,3.689,24000,2,75.0,ok,pass,,,,
corapan/ARG6b4b5aaa0.mp3,yes,yes,66335,64.8,yes,mp3,5.595,44100,2,94.0,ok,pass,,,,
corapan/ARG6f0773898.mp3,yes,yes,60217,58.8,yes,mp3,4.656,44100,2,102.4,ok,pass,,,,
corapan/ARG83d8dcded.mp3,yes,yes,32109,31.4,yes,mp3,2.798,48000,2,90.6,ok,pass,,,,
corapan/ARG976a70db8.mp3,yes,yes,59331,57.9,yes,mp3,4.516,44100,2,104.3,ok,pass,,,,
corapan/ARGad0b6f8c6.mp3,yes,yes,99192,96.9,yes,mp3,8.458,44100,2,93.4,ok,pass,,,,
corapan/ARGCBAeca46a987.mp3,yes,yes,29277,28.6,yes,mp3,2.091,48000,2,109.5,ok,pass,,,,
corapan/BOL1d4225d5f.mp3,yes,yes,103642,101.2,yes,mp3,6.664,44100,2,123.5,ok,pass,,,,
corapan/BOL3c25ed786.mp3,yes,yes,52365,51.1,yes,mp3,2.763,48000,2,149.1,ok,pass,,,,
corapan/BOLaa501b2f6.mp3,yes,yes,156659,153.0,yes,mp3,8.851,44100,2,141.1,ok,pass,,,,
corapan/CHL269490cb5.mp3,yes,yes,107264,104.8,yes,mp3,7.912,44100,2,108.0,ok,pass,,,,
corapan/CHL677fe3caa.mp3,yes,yes,68175,66.6,yes,mp3,5.503,44100,2,98.4,ok,pass,,,,
corapan/CHL70dd886f7.mp3,yes,yes,69548,67.9,yes,mp3,5.503,44100,2,100.4,ok,pass,,,,
corapan/CHL8b78ac16b.mp3,yes,yes,35445,34.6,yes,mp3,2.577,48000,2,108.3,ok,pass,,,,
corapan/CHLcca547c4d.mp3,yes,yes,67125,65.6,yes,mp3,3.650,44100,2,145.7,ok,pass,,,,
corapan/COL67ae8c87e.mp3,yes,yes,110984,108.4,yes,mp3,8.266,44100,2,106.8,ok,pass,,,,
corapan/COL85d7dd9c5.mp3,yes,yes,34557,33.7,yes,mp3,2.991,48000,2,91.3,ok,pass,,,,
corapan/COLf1ebb8bde.mp3,yes,yes,50013,48.8,yes,mp3,4.890,48000,1,81.2,ok,pass,,,,
corapan/CRI3733abe16.mp3,yes,yes,65171,63.6,yes,mp3,4.011,44100,2,128.7,ok,pass,,,,
corapan/CRI61d9dc2dc.mp3,yes,yes,48951,47.8,yes,mp3,3.257,44100,2,118.9,ok,pass,,,,
corapan/CUB5d77cc7b3.mp3,yes,yes,82711,80.8,yes,mp3,4.979,44100,2,131.9,ok,pass,,,,
corapan/ECU6a890d14d.mp3,yes,yes,86908,84.9,yes,mp3,6.591,44100,2,104.7,ok,pass,,,,
corapan/ECU73ad76bb5.mp3,yes,yes,64442,62.9,yes,mp3,5.029,44100,2,101.7,ok,pass,,,,
corapan/ESP468f8cda7.mp3,yes,yes,67732,66.1,yes,mp3,4.884,44100,2,110.3,ok,pass,,,,
corapan/ESPCAN17a593f28.mp3,yes,yes,44061,43.0,yes,mp3,4.201,48000,1,82.9,ok,pass,,,,
corapan/ESPCAN27f974cca.mp3,yes,yes,42050,41.1,yes,mp3,3.611,44100,2,91.9,ok,pass,,,,
corapan/ESPCANdd7e69c6a.mp3,yes,yes,63932,62.4,yes,mp3,5.085,44100,2,99.8,ok,pass,,,,
corapan/ESPe783daec2.mp3,yes,yes,140296,137.0,yes,mp3,7.989,44100,2,139.9,ok,pass,,,,
corapan/ESPf05b1f805.mp3,yes,yes,116278,113.6,yes,mp3,5.898,44100,2,156.8,ok,pass,,,,
corapan/ESPf1a6cf8f9.mp3,yes,yes,53517,52.3,yes,mp3,2.654,48000,2,159.1,ok,pass,,,,
corapan/MEX2c8baf584.mp3,yes,yes,62165,60.7,yes,mp3,3.724,44100,2,132.1,ok,pass,,,,
corapan/MEXb80def27c.mp3,yes,yes,102328,99.9,yes,mp3,6.086,44100,2,133.9,ok,pass,,,,
corapan/MEXeb9444db6.mp3,yes,yes,42386,41.4,yes,mp3,3.061,44100,2,109.0,ok,pass,,,,
corapan/NIC9cc4332e7.mp3,yes,yes,83007,81.1,yes,mp3,6.715,44100,2,98.1,ok,pass,,,,
corapan/NICdb83e03a2.mp3,yes,yes,161349,157.6,yes,mp3,7.977,48000,2,161.0,ok,pass,,,,
corapan/PER1101faa0f.mp3,yes,yes,31245,30.5,yes,mp3,2.640,48000,2,93.7,ok,pass,,,,
corapan/PER49335038b.mp3,yes,yes,57502,56.2,yes,mp3,3.540,44100,2,128.4,ok,pass,,,,
corapan/PERfb855ad5f.mp3,yes,yes,78231,76.4,yes,mp3,4.715,44100,2,131.6,ok,pass,,,,
corapan/PRY056c6e190.mp3,yes,yes,26109,25.5,yes,mp3,2.549,48000,1,80.4,ok,pass,,,,
corapan/PRYb10ea56ba.mp3,yes,yes,70509,68.9,yes,mp3,6.959,48000,1,80.7,ok,pass,,,,
corapan/SLVaf013aad1.mp3,yes,yes,69180,67.6,yes,mp3,4.250,44100,2,129.1,ok,pass,,,,
corapan/SLVd96cd5aec.mp3,yes,yes,52597,51.4,yes,mp3,3.220,44100,2,128.8,ok,pass,,,,
corapan/URY0f1c01cd7.mp3,yes,yes,25965,25.4,yes,mp3,3.520,48000,1,58.4,ok,pass,,,,
corapan/URY2cff70d0d.mp3,yes,yes,66717,65.2,yes,mp3,9.391,48000,1,56.5,ok,pass,,,,
corapan/URY3e6d4dfb2.mp3,yes,yes,14925,14.6,yes,mp3,1.810,48000,1,64.4,ok,pass,,,,
corapan/URY5bbf88c76.mp3,yes,yes,11229,11.0,yes,mp3,1.720,48000,1,51.1,ok,pass,,,,
corapan/URY8b580411c.mp3,yes,yes,24741,24.2,yes,mp3,5.880,16000,1,33.1,ok,warn,bitrate outside 48-320 kbps: 33.1,,,
marele/agua_ele.mp3,yes,yes,20661,20.2,yes,mp3,1.608,48000,2,101.1,ok,pass,,,,
marele/agua_l1.mp3,yes,yes,14349,14.0,yes,mp3,1.634,48000,1,68.1,ok,pass,,,,
marele/baron_varon_ele.mp3,yes,yes,29733,29.0,yes,mp3,2.480,48000,2,94.2,ok,pass,,,,
marele/baron_varon_l1.mp3,yes,yes,22845,22.3,yes,mp3,2.480,48000,2,72.4,ok,pass,,,,
marele/bebedor_ele.mp3,yes,yes,22197,21.7,yes,mp3,1.212,48000,2,142.0,ok,pass,,,,
marele/bebedor_l1.mp3,yes,yes,10437,10.2,yes,mp3,1.105,48000,1,72.2,ok,pass,,,,
marele/deuda_l1.mp3,yes,yes,12213,11.9,yes,mp3,1.555,48000,1,61.5,ok,pass,,,,
marele/europa_l1.mp3,yes,yes,13197,12.9,yes,mp3,1.608,48000,1,64.5,ok,pass,,,,
marele/glottis_ele.mp3,yes,yes,17037,16.6,yes,mp3,1.373,48000,2,96.0,ok,pass,,,,
marele/glottis_l1.mp3,yes,yes,10293,10.1,yes,mp3,1.399,48000,1,56.9,ok,pass,,,,
marele/r_ele.mp3,yes,yes,13989,13.7,yes,mp3,1.321,48000,2,81.5,ok,pass,,,,
marele/r_l1.mp3,yes,yes,11661,11.4,yes,mp3,1.503,48000,1,60.5,ok,pass,,,,
promat/deuda_ele.mp3,yes,yes,13820,13.5,yes,mp3,1.555,48000,1,69.3,ok,pass,,,,
promat/europa_ele.mp3,yes,yes,14301,14.0,yes,mp3,1.608,48000,1,69.9,ok,pass,,,,
